speaker,occupation,about_speaker,language
Andrew Mwenda,{0: ['journalist']},{0: 'Journalist Andrew Mwenda has spent his career fighting for free speech and economic empowerment throughout Africa. He argues that aid makes objects of the poor -- they become passive recipients of charity rather than active participants in their own economic betterment.'},en
Theo Jansen,{0: ['artist']},"{0: 'Theo Jansen is a Dutch artist who builds walking kinetic sculptures that he calls a new form of life. His ""Strandbeests"" walk the coastline of Holland, feeding on wind and fleeing from water.'}",en
Steven Pinker,{0: ['psychologist']},"{0: 'Steven Pinker is a professor of cognitive science (the study of the human mind) who writes about language, mind and human nature. '}",en
Steven Pinker,{0: ['psychologist']},"{0: 'Steven Pinker is a professor of cognitive science (the study of the human mind) who writes about language, mind and human nature. '}",en
Deborah Scranton,{0: ['filmmaker']},"{0: 'The director of the award-winning documentary <em>The War Tapes,</em> Deborah Scranton is committed to using new technology to give people power to tell their own stories. '}",en
Zeresenay Alemseged,{0: ['paleoanthropologist']},"{0: 'Zeresenay ""Zeray"" Alemseged digs in the Ethiopian desert, looking for the earliest signs of humanity. His most exciting find: the 3.3-million-year-old bones of Selam, a 3-year-old hominid child, from the species <em>Australopithecus afarensis.</em>'}",en
John Maeda,{0: ['artist']},"{0: 'John Maeda, the former president of the Rhode Island School of Design, is dedicated to linking design and technology. Through the software tools, web pages and books he creates, he spreads his philosophy of elegant simplicity.'}",en
Stephen Petranek,{0: ['technology forecaster']},{0: 'Stephen Petranek untangles emerging technologies to predict which will become fixtures of our future lives -- and which could potentially save them. '},en
Paul MacCready,{0: ['engineer']},"{0: 'Paul MacCready, an aircraft designer and environmentalist, is a pioneer of human-powered flight, alternative energy for transportation, and environmentally responsible design.'}",en
Carolyn Porco,{0: ['planetary scientist']},"{0: 'As the leader of the Imaging Team on the Cassini mission to Saturn, Carolyn Porco interprets and shares the pictures coming back from this fascinating planet, its rings and its moons.'}",en
Kenichi Ebina,{0: ['dancer']},"{0: '2013 ""America\'s Got Talent"" winner Kenichi Ebina blends hip-hop, martial arts, modern dance, magic and a blast of pop culture in his mesmerizing performances.'}",en
Richard Branson,{0: ['entrepreneur']},"{0: ""Richard Branson bootstrapped his way from record-shop owner to head of the Virgin empire. Now he's focusing his boundless energy on saving our environment. ""}",en
Hod Lipson,{0: ['roboticist']},"{0: 'Hod Lipson works at the intersection of engineering and biology, studying robots and the way they ""behave"" and evolve. His work has exciting implications for design and manufacturing -- and serves as a window to understand our own behavior and evolution.'}",en
Maira Kalman,"{0: ['illustrator', 'author']}","{0: ""Maira Kalman's wise, witty drawings have appeared on numberless <em>New Yorker</em> covers, in a dozen children's books, and throughout the pages of the <em>Elements of Style.</em> Her latest book, <em>The Principles of Uncertainty</em>, is the result of a year-long illustrated blog she kept for the <em>New York Times.</em>""}",en
Jan Chipchase,{0: ['user anthropologist']},"{0: ""As Executive Creative Director of global insights for frog design, Jan Chipchase travels around the world and inside our pockets in search of behavioral patterns that will inform the design of products we don't even know we want. Yet.""}",en
Vilayanur Ramachandran,{0: ['brain expert']},"{0: 'Neurologist V.S. Ramachandran looks deep into the brain’s most basic mechanisms. By working with those who have very specific mental disabilities caused by brain injury or stroke, he can map functions of the mind to physical structures of the brain. '}",en
Eleni Gabre-Madhin,{0: ['economist']},"{0: ""Eleni Gabre-Madhin is working to build Ethiopia's first commodities market. Re-establishing the profit motive for farmers, she believes, could help turn the world's largest recipient of food aid into a regional food basket.""}",en
Sherwin Nuland,{0: ['doctor']},"{0: 'A practicing surgeon for three decades, Sherwin Nuland witnessed life and death in every variety. Then he turned to writing, exploring what there is to people beyond just anatomy.'}",en
Matthieu Ricard,"{0: ['monk', 'author', 'photographer']}","{0: 'Sometimes called the ""happiest man in the world,"" Matthieu Ricard is a Buddhist monk, author and photographer.'}",en
Lawrence Lessig,{0: ['legal activist']},"{0: ""Lawrence Lessig has already transformed intellectual-property law with his Creative Commons innovation. Now he's focused on an even bigger problem: The US' broken political system.""}",en
Paul Rothemund,{0: ['dna origamist']},"{0: 'Paul Rothemund folds DNA into shapes and patterns. Which is a simple enough thing to say, but the process he has developed has vast implications for computing and manufacturing -- allowing us to create things we can now only dream of.'}",en
David Keith,{0: ['environmental scientist']},"{0: ""David Keith studies our climate, and the many ideas we've come up with to fix it. A wildly original thinker, he challenges us to look at climate solutions that may seem daring, sometimes even shocking.""}",en
Juan Enriquez,"{0: ['author', 'academic', 'futurist']}","{0: 'Juan Enriquez thinks and writes about the profound changes that genomics and brain research will bring about in business, technology, politics and society.'}",en
Larry Brilliant,"{0: ['epidemiologist', 'philanthropist']}","{0: ""TED Prize winner Larry Brilliant has spent his career solving the world's biggest problems, from overseeing the last smallpox cases to saving millions from blindness.""}",en
Robert Full,{0: ['biologist']},"{0: ""Robert Full studies cockroach legs and gecko feet. His research is helping build tomorrow's robots, based on evolution's ancient engineering.""}",en
Ron Eglash,{0: ['mathematician']},"{0: 'Ron Eglash is an ethno-mathematician: he studies the way math and cultures intersect. He has shown that many aspects of African design -- in architecture, art, even hair braiding -- are based on perfect fractal patterns.'}",en
Philippe Starck,{0: ['designer']},"{0: 'Philippe Starck designs deluxe objects and posh condos and hotels around the world. Always witty and engaged, he takes special delight in rethinking everyday objects. '}",en
Murray Gell-Mann,{0: ['physicist']},"{0: ""Murray Gell-Mann brings visibility to a crucial aspect of our existence that we can't actually see: elemental particles. He won the Nobel Prize in Physics for introducing quarks, one of two fundamental ingredients for all matter in the universe.""}",en
Amory Lovins,"{0: ['physicist', 'energy guru']}","{0: 'In his new book, ""Reinventing Fire,"" Amory Lovins shares ingenious ideas for the next era of energy.'}",en
Arthur Benjamin,{0: ['mathemagician']},"{0: 'Using daring displays of algorithmic trickery, lightning calculator and number wizard Arthur Benjamin mesmerizes audiences with mathematical mystery and beauty.'}",en
Daniel Goleman,{0: ['psychologist']},"{0: 'Daniel Goleman, psychologist and award-winning author of <em>Emotional Intelligence</em> and other books on EI, challenges traditional measures of intelligence as a predictor of life success.'}",en
Lakshmi Pratury,{0: ['connector']},{0: 'Lakshmi Pratury is the host of The INK Conference and was the co-host of TEDIndia 2009.'},en
Gever Tulley,{0: ['tinkerer']},"{0: 'The founder of the Tinkering School, Gever Tulley likes to build things with kids.'}",en
Isabel Allende,{0: ['novelist']},"{0: 'Isabel Allende writes stories of passion. Her novels and memoirs, including <em>The House of the Spirits</em> and <em>Eva Luna</em>, tell the stories of women and men who live with passionate commitment -- to love, to their world, to an ideal. '}",en
Yossi Vardi,{0: ['investor']},"{0: ""Investor Yossi Vardi is godfather to more than 40 startups, mostly in the jumping Israeli high-tech sector. He's a legendary community-builder, connector and prankster.""}",en
Deborah Gordon,{0: ['ecologist']},"{0: 'By studying how ant colonies work without any one leader, Deborah Gordon has identified striking similarities in how ant colonies, brains, cells and computer networks regulate themselves.'}",en
J.J. Abrams,{0: ['filmmaker']},"{0: ""Writer, director and producer J.J. Abrams makes smart, addictive dramas like TV's <em>Lost</em>, and films like <em>Cloverfield</em> and the new <em>Star Trek</em>.""}",en
David Gallo,{0: ['oceanographer']},"{0: 'A pioneer in ocean exploration, David Gallo is an enthusiastic ambassador between the sea and those of us on dry land.'}",en
Paola Antonelli,{0: ['curator of architecture and design']},"{0: ""Paola Antonelli is on a mission to introduce -- and explain -- design to the world. With her shows at New York's Museum of Modern Art, she celebrates design's presence in every part of life.""}",en
Frank Gehry,{0: ['architect']},"{0: ""A living legend, Frank Gehry has forged his own language of architecture, creating astonishing buildings all over the world, such as the Guggenheim in Bilbao, the Walt Disney Concert Hall in LA, and Manhattan's new IAC building.""}",en
Raul Midon,{0: ['guitarist']},"{0: 'Guitarist and singer Raul Midon blends flamenco, jazz and R&B to create a category-defying sound. His life story is as inspiring as his musical vision.'}",en
